Name,COORDS
000000004993.jpg,[0 0 0 0]
000000005225.jpg,[0 0 0 0]
000000005505.jpg,[320 307 399 523]
000000005699.jpg,[ 56 187 108 506]
000000006028.jpg,[0 0 0 0]
000000006268.jpg,[ 94   5 225 499]
000000003751.jpg,[0 0 0 0]
000000003761.jpg,[  11  188  281 1058]
000000003770.jpg,[ 32 115 189 422]
000000003793.jpg,[0 0 0 0]
000000003804.jpg,[0 0 0 0]
000000003817.jpg,[0 0 0 0]
000000003827.jpg,[251  96 448 606]
000000003830.jpg,[0 0 0 0]
000000003837.jpg,[0 0 0 0]
000000003860.jpg,[0 0 0 0]
000000003865.jpg,[0 0 0 0]
000000003870.jpg,[386 124 502 638]
000000003897.jpg,[0 0 0 0]
000000003915.jpg,[301 101 418 401]
000000003917.jpg,[0 0 0 0]
000000003920.jpg,[192 157 377 425]
000000003938.jpg,[-52 149  37 484]
000000003939.jpg,[130  35 262 375]
000000004576.jpg,[0 0 0 0]
000000004578.jpg,[276 216 367 464]
000000004587.jpg,[195  62 387 397]
000000004592.jpg,[234  83 359 433]
000000004595.jpg,[0 0 0 0]
000000004608.jpg,[ 184  358  477 1489]
000000004616.jpg,[155 291 263 793]
000000004662.jpg,[0 0 0 0]
000000004665.jpg,[-114  164  337 1450]
000000004678.jpg,[0 0 0 0]
000000004684.jpg,[120 131 239 537]
000000004688.jpg,[369 205 435 541]
000000004700.jpg,[149  58 217 278]
000000004702.jpg,[0 0 0 0]
000000004704.jpg,[359 478 451 744]
000000004711.jpg,[-17  90 537 621]
000000004714.jpg,[-17  42 123 526]
000000004716.jpg,[168 209 268 374]
000000004731.jpg,[217 233 309 567]
000000004736.jpg,[369 208 492 416]
000000004739.jpg,[377  84 499 357]
000000005508.jpg,[-54  76 137 405]
000000005513.jpg,[-10  84 266 686]
000000005535.jpg,[414 262 535 622]
000000005559.jpg,[265 307 338 490]
000000005569.jpg,[0 0 0 0]
000000005587.jpg,[0 0 0 0]
000000005599.jpg,[-37 255  11 584]
000000005601.jpg,[  67 -176 1412  202]
000000005608.jpg,[158  36 356 521]
000000005614.jpg,[450 109 542 459]
000000005620.jpg,[0 0 0 0]
000000005632.jpg,[  4 140 352 912]
000000005638.jpg,[ 28  54 266 489]
000000005641.jpg,[  29  216  443 1453]
000000005644.jpg,[217  40 297 174]
000000005652.jpg,[ -85  238  657 1644]
000000005670.jpg,[   6  265  438 1399]
000000005673.jpg,[ -36  222  232 1055]
000000005683.jpg,[155 275 227 431]
000000005684.jpg,[0 0 0 0]
000000005688.jpg,[0 0 0 0]
000000005689.jpg,[241  56 357 342]
000000006572.jpg,[0 0 0 0]
000000006578.jpg,[ -13   11  406 1541]
000000006579.jpg,[262 183 482 871]
000000006580.jpg,[0 0 0 0]
000000006590.jpg,[191 150 285 424]
000000006593.jpg,[183 -32 430 445]
000000006602.jpg,[0 0 0 0]
000000006603.jpg,[ 73 277 159 461]
000000006627.jpg,[ -18   79  237 1151]
000000006632.jpg,[0 0 0 0]
000000006640.jpg,[419  94 544 461]
000000006664.jpg,[ 10  16 479 538]
000000006675.jpg,[108 160 439 489]
000000006692.jpg,[127   1 364 457]
000000006709.jpg,[154  67 373 455]
000000006710.jpg,[0 0 0 0]
000000006712.jpg,[-113  118  155  397]
000000007275.jpg,[0 0 0 0]
000000007277.jpg,[-10  70 288 818]
000000007297.jpg,[0 0 0 0]
000000007298.jpg,[123 145 340 433]
000000007304.jpg,[118 146 365 458]
000000007307.jpg,[290 232 513 502]
000000007318.jpg,[0 0 0 0]
000000007320.jpg,[0 0 0 0]
000000007325.jpg,[428 143 529 519]
000000007333.jpg,[181  38 372 413]
000000007355.jpg,[0 0 0 0]
000000007357.jpg,[0 0 0 0]
000000007394.jpg,[184  87 308 506]
000000007420.jpg,[128  76 341 448]
000000007424.jpg,[  53  136  403 1167]
000000007452.jpg,[0 0 0 0]
000000007500.jpg,[100  73 190 419]
000000007503.jpg,[159 152 293 438]
000000007519.jpg,[ 98 107 354 838]
000000007524.jpg,[0 0 0 0]
000000007535.jpg,[202  34 233 112]
000000007556.jpg,[0 0 0 0]
000000007583.jpg,[0 0 0 0]
000000007593.jpg,[116 118 424 223]
000000007594.jpg,[ 12 216 349 896]
000000007596.jpg,[136  11 481 410]
000000007603.jpg,[263 -34 412 350]
000000007615.jpg,[ 97   6 425 514]
000000007621.jpg,[0 0 0 0]
000000008074.jpg,[0 0 0 0]
000000008086.jpg,[0 0 0 0]
000000008095.jpg,[ 20  58 337 459]
000000008106.jpg,[242 127 407 658]
000000008114.jpg,[0 0 0 0]
000000008119.jpg,[216  67 349 277]
000000008176.jpg,[100 161 481 858]
000000008186.jpg,[100 127 291 423]
000000008187.jpg,[0 0 0 0]
000000008188.jpg,[0 0 0 0]
000000008190.jpg,[158  55 210 153]
000000008191.jpg,[288 116 401 378]
000000008204.jpg,[0 0 0 0]
000000008238.jpg,[208 164 434 502]
000000008284.jpg,[296 136 520 836]
000000008285.jpg,[-11 212  67 497]
000000008294.jpg,[0 0 0 0]
000000008297.jpg,[248  64 334 471]
000000008305.jpg,[160 255 266 653]
000000008309.jpg,[  4 155 492 591]
000000008314.jpg,[306 187 359 405]
000000008321.jpg,[0 0 0 0]
000000008329.jpg,[137  38 336 526]
000000008332.jpg,[0 0 0 0]
000000008339.jpg,[401 145 502 373]
000000008341.jpg,[366 167 449 444]
000000008369.jpg,[301  78 432 520]
000000008383.jpg,[158 124 478 471]
000000008396.jpg,[0 0 0 0]
000000008414.jpg,[-64  59 237 382]
000000008422.jpg,[0 0 0 0]
000000008771.jpg,[125 195 287 406]
000000008772.jpg,[ 91  36 320 460]
000000008781.jpg,[265  65 485 494]
000000008787.jpg,[ 89 -55 336 704]
000000008791.jpg,[0 0 0 0]
000000008794.jpg,[0 0 0 0]
000000008803.jpg,[378 125 443 496]
000000008807.jpg,[267 309 400 507]
000000008809.jpg,[ 86 128 482 707]
000000008813.jpg,[  11  150  439 1486]
000000008816.jpg,[0 0 0 0]
000000008832.jpg,[  65  335  479 1192]
000000008834.jpg,[0 0 0 0]
000000008836.jpg,[0 0 0 0]
000000008841.jpg,[ 109   64  468 1010]
000000008846.jpg,[194 137 280 437]
000000008853.jpg,[0 0 0 0]
000000008856.jpg,[232  -3 391 706]
000000008872.jpg,[288 141 362 485]
000000008896.jpg,[0 0 0 0]
000000008909.jpg,[242 134 444 489]
000000008923.jpg,[208 144 456 501]
000000008933.jpg,[278 349 392 478]
000000009651.jpg,[0 0 0 0]
000000009656.jpg,[324 164 521 509]
000000009658.jpg,[ 56  93 450 552]
000000009669.jpg,[0 0 0 0]
000000009679.jpg,[0 0 0 0]
000000009696.jpg,[313  70 553 264]
000000009698.jpg,[0 0 0 0]
000000009708.jpg,[273 266 365 371]
000000009727.jpg,[0 0 0 0]
000000009729.jpg,[  91  154  453 1200]
000000009738.jpg,[ 10  64 168 570]
000000009744.jpg,[0 0 0 0]
000000009745.jpg,[0 0 0 0]
000000009760.jpg,[159 159 198 230]
000000009767.jpg,[0 0 0 0]
000000009771.jpg,[133 169 278 459]
000000009774.jpg,[0 0 0 0]
000000009789.jpg,[ -4  57 199 583]
000000009797.jpg,[-10  99 184 901]
000000009800.jpg,[219 102 465 765]
000000009801.jpg,[0 0 0 0]
000000009813.jpg,[309 155 422 380]
000000009820.jpg,[194  39 277 281]
000000009833.jpg,[ 90 377 195 541]
000000009836.jpg,[156  78 426 228]
000000010222.jpg,[0 0 0 0]
000000010230.jpg,[162  88 308 622]
000000010232.jpg,[0 0 0 0]
000000010239.jpg,[362 231 420 433]
000000010243.jpg,[-103   71  327  694]
000000010244.jpg,[ 91  50 121 165]
000000010249.jpg,[153  79 489 663]
000000010265.jpg,[241 256 334 364]
000000010275.jpg,[332 225 571 784]
000000010281.jpg,[0 0 0 0]
000000010309.jpg,[0 0 0 0]
000000010313.jpg,[-41  66 472 460]
000000010318.jpg,[0 0 0 0]
000000010319.jpg,[257 215 475 635]
000000010321.jpg,[156 176 259 434]
000000010342.jpg,[ 41 293 313 616]
000000010358.jpg,[173  68 289 281]
000000010386.jpg,[210 264 397 948]
000000010388.jpg,[0 0 0 0]
000000010393.jpg,[160  47 394 549]
000000010434.jpg,[ -7  98 155 369]
000000010442.jpg,[394 226 460 515]
000000010445.jpg,[ 72 109 199 565]
000000010463.jpg,[301 105 411 414]
000000010472.jpg,[0 0 0 0]
000000010496.jpg,[0 0 0 0]
000000010498.jpg,[332 118 427 553]
000000010825.jpg,[0 0 0 0]
000000010831.jpg,[172 209 269 544]
000000010837.jpg,[344 251 432 495]
000000010870.jpg,[0 0 0 0]
000000010871.jpg,[-164  131  285  584]
000000010877.jpg,[ 28 172 404 552]
000000010881.jpg,[0 0 0 0]
000000010890.jpg,[ 96 230 128 421]
000000010920.jpg,[111 515 154 574]
000000010925.jpg,[0 0 0 0]
000000010929.jpg,[184 174 302 371]
000000010948.jpg,[ 49  99 256 755]
000000010966.jpg,[258 130 378 540]
000000010986.jpg,[0 0 0 0]
000000011015.jpg,[186 177 238 445]
000000011025.jpg,[307 -43 461 306]
000000011029.jpg,[299 112 517 781]
000000011034.jpg,[268 127 468 479]
000000011041.jpg,[0 0 0 0]
000000011065.jpg,[0 0 0 0]
000000012115.jpg,[ 47 236 168 747]
000000012131.jpg,[0 0 0 0]
000000012145.jpg,[264  24 373 245]
000000012146.jpg,[258 -10 334 148]
000000012147.jpg,[180  54 350 262]
000000012153.jpg,[ 104  195  410 1195]
000000012155.jpg,[0 0 0 0]
000000012156.jpg,[219 116 295 343]
000000012158.jpg,[141 399 251 530]
000000012182.jpg,[ -50  118  437 1634]
000000012192.jpg,[257 137 357 479]
000000012209.jpg,[127 161 199 577]
000000012224.jpg,[152 109 513 951]
000000012233.jpg,[0 0 0 0]
000000012236.jpg,[0 0 0 0]
000000012238.jpg,[195  99 265 263]
000000012240.jpg,[0 0 0 0]
000000012269.jpg,[172 135 331 491]
000000012283.jpg,[0 0 0 0]
000000012284.jpg,[0 0 0 0]
000000012313.jpg,[ 66  83 200 250]
000000012333.jpg,[0 0 0 0]
000000012343.jpg,[217  18 407 431]
000000012345.jpg,[ -1  67 124 429]
000000012370.jpg,[197  55 301 480]
000000012379.jpg,[204 165 554 435]
000000012797.jpg,[  95  228  748 1808]
000000012805.jpg,[-27 182 266 945]
000000012809.jpg,[ 28 124 161 572]
000000012810.jpg,[0 0 0 0]
000000012817.jpg,[ 91 -17 424 180]
000000012818.jpg,[0 0 0 0]
000000012822.jpg,[247 103 407 428]
000000012825.jpg,[147 205 265 591]
000000012827.jpg,[ 257  272  468 1186]
000000012838.jpg,[0 0 0 0]
000000012839.jpg,[408  90 506 461]
000000012861.jpg,[239 166 381 506]
000000012873.jpg,[ 77 140 410 808]
000000012876.jpg,[0 0 0 0]
000000012881.jpg,[251 164 331 385]
000000012884.jpg,[148  79 305 205]
000000012891.jpg,[0 0 0 0]
000000012896.jpg,[0 0 0 0]
000000012897.jpg,[0 0 0 0]
000000012916.jpg,[203 358 310 594]
000000012927.jpg,[134 144 254 270]
000000012933.jpg,[201  98 304 444]
000000012938.jpg,[ 87 187 259 449]
000000012946.jpg,[313 189 383 471]
000000013797.jpg,[389 133 500 600]
000000013800.jpg,[233 179 278 288]
000000013802.jpg,[171 174 220 308]
000000013815.jpg,[222  15 319 197]
000000013844.jpg,[-87 101 475 609]
000000013856.jpg,[ -86 -198  162  176]
000000013867.jpg,[251  91 473 352]
000000013868.jpg,[0 0 0 0]
000000013874.jpg,[ -16  224  491 2183]
000000013892.jpg,[173  80 404 276]
000000013904.jpg,[394  -1 527 237]
000000013908.jpg,[  55   33  478 1535]
000000013909.jpg,[ 29 141 128 456]
000000013912.jpg,[0 0 0 0]
000000013920.jpg,[135   1 287 229]
000000013921.jpg,[188  20 401 510]
000000013943.jpg,[402 132 470 417]
000000013959.jpg,[152 182 287 337]
000000013967.jpg,[0 0 0 0]
000000014691.jpg,[270 168 345 226]
000000014698.jpg,[354  11 522 464]
000000014709.jpg,[ 95 118 207 468]
000000014723.jpg,[215  87 379 302]
000000014726.jpg,[ 25 332  81 617]
000000014730.jpg,[0 0 0 0]
000000014740.jpg,[-57 157   9 359]
000000014748.jpg,[   3  116  481 1074]
000000014756.jpg,[0 0 0 0]
000000014757.jpg,[-963  -66  238  322]
000000014768.jpg,[ -25  197  410 1576]
000000014769.jpg,[0 0 0 0]
000000014791.jpg,[ 305   15  768 1069]
000000014795.jpg,[0 0 0 0]
000000014798.jpg,[0 0 0 0]
000000014801.jpg,[293 205 390 471]
000000015544.jpg,[124  85 405 498]
000000015546.jpg,[ 51  78 368 565]
000000015554.jpg,[152  54 244 477]
000000015559.jpg,[115 118 288 502]
000000015564.jpg,[0 0 0 0]
000000015576.jpg,[0 0 0 0]
000000015581.jpg,[-165   73  542 1691]
000000015582.jpg,[ 72 104 383 869]
000000015586.jpg,[ 197  203  874 2057]
000000015588.jpg,[135   7 466 470]
000000015596.jpg,[0 0 0 0]
000000015600.jpg,[  -4  219  514 1560]
000000015610.jpg,[0 0 0 0]
000000015619.jpg,[169 137 382 834]
000000015621.jpg,[0 0 0 0]
000000015644.jpg,[365  79 567 595]
000000015645.jpg,[198  65 413 534]
000000016125.jpg,[132 226 185 386]
000000016142.jpg,[0 0 0 0]
000000016166.jpg,[0 0 0 0]
000000016169.jpg,[182  85 339 738]
000000016173.jpg,[ 20  91 335 523]
000000016195.jpg,[0 0 0 0]
000000016210.jpg,[ 90 185 274 420]
000000016216.jpg,[0 0 0 0]
000000016237.jpg,[ 25  72 226 737]
000000016238.jpg,[ 33 399  95 753]
000000016240.jpg,[0 0 0 0]
000000016253.jpg,[ 22 408 104 637]
000000016254.jpg,[0 0 0 0]
000000016255.jpg,[320 223 434 448]
000000016257.jpg,[ 154  155  759 1739]
000000016273.jpg,[249 113 336 520]
000000016283.jpg,[ 28 326 177 524]
000000016285.jpg,[182  22 301 429]
000000016905.jpg,[423 269 486 696]
000000016955.jpg,[0 0 0 0]
000000016957.jpg,[0 0 0 0]
000000016959.jpg,[0 0 0 0]
000000016961.jpg,[326  49 440 440]
000000016977.jpg,[0 0 0 0]
000000016980.jpg,[  7 115 463 621]
000000017003.jpg,[164  49 379 513]
000000017018.jpg,[137 212 194 429]
000000017047.jpg,[104 233 154 318]
000000017057.jpg,[0 0 0 0]
000000017068.jpg,[134  83 324 495]
000000017073.jpg,[289 315 368 458]
000000017095.jpg,[ 84 138 263 456]
000000017096.jpg,[233 123 285 221]
000000017108.jpg,[0 0 0 0]
000000017137.jpg,[158 139 375 564]
000000017170.jpg,[0 0 0 0]
000000017174.jpg,[0 0 0 0]
000000017181.jpg,[ 78 152 390 508]
000000017192.jpg,[0 0 0 0]
000000017206.jpg,[180 133 239 293]
000000017210.jpg,[0 0 0 0]
000000017236.jpg,[228 133 357 756]
000000017244.jpg,[ -8 -12  85 121]
000000017580.jpg,[0 0 0 0]
000000017582.jpg,[127 102 254 705]
000000017583.jpg,[0 0 0 0]
000000017585.jpg,[231  82 415 455]
000000017586.jpg,[143 178 321 517]
000000017587.jpg,[ 278  115  610 1189]
000000017590.jpg,[362 117 433 491]
000000017591.jpg,[177 154 224 286]
000000017644.jpg,[0 0 0 0]
000000017667.jpg,[0 0 0 0]
000000017683.jpg,[0 0 0 0]
000000017696.jpg,[0 0 0 0]
000000017697.jpg,[0 0 0 0]
000000017703.jpg,[254 210 326 407]
000000017708.jpg,[0 0 0 0]
000000017712.jpg,[0 0 0 0]
000000017741.jpg,[0 0 0 0]
000000017755.jpg,[0 0 0 0]
000000017766.jpg,[ 69  81 370 339]
000000017776.jpg,[0 0 0 0]
000000017799.jpg,[430  99 475 382]
000000018482.jpg,[206 298 337 608]
000000018501.jpg,[ 17 134 312 756]
000000018507.jpg,[0 0 0 0]
000000018523.jpg,[323 310 423 503]
000000018529.jpg,[0 0 0 0]
000000018530.jpg,[0 0 0 0]
000000018535.jpg,[492 372 582 434]
000000018542.jpg,[140 250 436 456]
000000018554.jpg,[-160  171  420 1701]
000000018557.jpg,[150 144 180 361]
000000018559.jpg,[228  93 342 326]
000000018563.jpg,[0 0 0 0]
000000018564.jpg,[208 426 338 555]
000000018584.jpg,[210 344 291 613]
000000018605.jpg,[0 0 0 0]
000000018614.jpg,[0 0 0 0]
000000018627.jpg,[0 0 0 0]
000000018641.jpg,[174 195 310 590]
000000018654.jpg,[  3 144  64 467]
000000018656.jpg,[205  86 364 682]
000000019663.jpg,[104 197 256 529]
000000019667.jpg,[313 113 413 291]
000000019671.jpg,[298  -2 409 483]
000000019681.jpg,[0 0 0 0]
000000019695.jpg,[290 147 477 636]
000000019698.jpg,[223 223 270 419]
000000019707.jpg,[ 90 -45 283 261]
000000019712.jpg,[269 226 357 618]
000000019714.jpg,[142  24 474 524]
000000019716.jpg,[ 36 158 438 842]
000000019737.jpg,[373 160 448 526]
000000019754.jpg,[ 97 126 405 463]
000000019759.jpg,[0 0 0 0]
000000019763.jpg,[0 0 0 0]
000000019766.jpg,[139  60 289 477]
000000019767.jpg,[0 0 0 0]
000000019769.jpg,[0 0 0 0]
000000019781.jpg,[  1  68 504 878]
000000019783.jpg,[0 0 0 0]
000000019789.jpg,[168 152 424 433]
000000019794.jpg,[172 108 430 505]
000000019797.jpg,[ 26 118 129 447]
000000019838.jpg,[ 80  97 508 611]
000000019871.jpg,[459 358 484 499]
000000019904.jpg,[422 192 563 518]
000000019905.jpg,[148   1 313 511]
000000020291.jpg,[  59   22  642 1484]
000000020305.jpg,[129 134 332 745]
000000020308.jpg,[0 0 0 0]
000000020311.jpg,[-45  58 306 560]
000000020315.jpg,[0 0 0 0]
000000020334.jpg,[0 0 0 0]
000000020342.jpg,[447 111 561 489]
000000020355.jpg,[114 180 228 453]
000000020367.jpg,[ 93  41 342 625]
000000020376.jpg,[305 164 466 506]
000000020381.jpg,[0 0 0 0]
000000020389.jpg,[ 31  45 366 514]
000000020410.jpg,[ 31 -28 398 427]
000000020414.jpg,[102 115 362 619]
000000020417.jpg,[ -96  155  580 1882]
000000020421.jpg,[301  43 437 570]
000000020444.jpg,[ 95 200 224 431]
000000020450.jpg,[126 104 379 463]
000000020456.jpg,[252  68 400 640]
000000020459.jpg,[ 74 137 310 701]
000000020464.jpg,[0 0 0 0]
000000020908.jpg,[0 0 0 0]
000000020925.jpg,[  35  158  235 1138]
000000020935.jpg,[450 107 514 363]
000000020962.jpg,[ 45  82 215 450]
000000020965.jpg,[ 91 234 488 446]
000000020966.jpg,[0 0 0 0]
000000020971.jpg,[244 438 279 614]
000000020983.jpg,[  25  135  257 1032]
000000020987.jpg,[168  95 355 658]
000000021003.jpg,[0 0 0 0]
000000021029.jpg,[188 147 350 506]
000000021036.jpg,[108  92 293 416]
000000021049.jpg,[240  76 358 408]
000000021051.jpg,[205 199 277 539]
000000021070.jpg,[ 54 220 109 470]
000000021075.jpg,[130  97 219 517]
000000021079.jpg,[0 0 0 0]
000000021083.jpg,[0 0 0 0]
000000021126.jpg,[  12  183  717 1779]
000000021143.jpg,[ 57  87 307 478]
000000021147.jpg,[0 0 0 0]
000000021151.jpg,[ 60  92 302 756]
000000021152.jpg,[304 215 420 349]
000000021164.jpg,[0 0 0 0]
000000021181.jpg,[ 124  199  489 1837]
000000021183.jpg,[188  89 328 464]
000000021194.jpg,[200  86 274 411]
000000021197.jpg,[0 0 0 0]
000000021198.jpg,[0 0 0 0]
000000021204.jpg,[-17 217 123 495]
000000021212.jpg,[ 52 206 116 303]
000000021534.jpg,[181 268 347 454]
000000021551.jpg,[ 165  122  419 1355]
000000021553.jpg,[390 156 552 474]
000000021564.jpg,[0 0 0 0]
000000021587.jpg,[0 0 0 0]
000000021592.jpg,[0 0 0 0]
000000021613.jpg,[0 0 0 0]
000000021632.jpg,[332  57 484 499]
000000021641.jpg,[0 0 0 0]
000000021647.jpg,[  0  29  66 235]
000000021650.jpg,[123 113 173 287]
000000021662.jpg,[-69 114 426 402]
000000021674.jpg,[0 0 0 0]
000000021676.jpg,[ 46 142 145 543]
000000021685.jpg,[0 0 0 0]
000000021686.jpg,[206  81 533 543]
000000021711.jpg,[0 0 0 0]
000000021717.jpg,[108 182 271 681]
000000021746.jpg,[ 35  78 215 550]
000000021747.jpg,[  97  201  353 1061]
000000021750.jpg,[-16 196 188 701]
000000021751.jpg,[ 37 125 382 557]
000000021764.jpg,[ 92 108 527 473]
000000022193.jpg,[ 48 150 397 686]
000000022198.jpg,[270 245 460 584]
000000022199.jpg,[215 135 462 417]
000000022208.jpg,[0 0 0 0]
000000022213.jpg,[220 283 421 448]
000000022215.jpg,[ -9  76  96 214]
000000022222.jpg,[0 0 0 0]
000000022228.jpg,[0 0 0 0]
000000022229.jpg,[0 0 0 0]
000000022236.jpg,[0 0 0 0]
000000022240.jpg,[0 0 0 0]
000000022265.jpg,[233  63 474 585]
000000022271.jpg,[0 0 0 0]
000000022275.jpg,[-13  38 353 760]
000000022281.jpg,[150 105 233 435]
000000022291.jpg,[218 -37 359 509]
000000022298.jpg,[0 0 0 0]
000000023000.jpg,[221  52 320 281]
000000023004.jpg,[0 0 0 0]
000000023015.jpg,[0 0 0 0]
000000023019.jpg,[0 0 0 0]
000000023025.jpg,[107  53 308 394]
000000023047.jpg,[310  74 385 308]
000000023050.jpg,[0 0 0 0]
000000023051.jpg,[0 0 0 0]
000000023054.jpg,[ 144  208  436 1318]
000000023066.jpg,[248  70 363 378]
000000023072.jpg,[0 0 0 0]
000000023084.jpg,[106 116 404 668]
000000023089.jpg,[409 328 480 482]
000000023094.jpg,[102 292 154 485]
000000023098.jpg,[110 178 314 497]
000000023102.jpg,[0 0 0 0]
000000023117.jpg,[0 0 0 0]
000000023121.jpg,[335 150 403 411]
000000023127.jpg,[ -53  152  491 1676]
000000023134.jpg,[ 99 175 437 641]
000000023140.jpg,[ 59 143 157 406]
000000023200.jpg,[0 0 0 0]
000000023201.jpg,[220 101 287 397]
000000023203.jpg,[0 0 0 0]
000000023218.jpg,[-119  225  562 2229]
000000023639.jpg,[ 61 136 374 800]
000000023660.jpg,[0 0 0 0]
000000023671.jpg,[0 0 0 0]
000000023673.jpg,[0 0 0 0]
000000023676.jpg,[122 117 305 373]
000000023687.jpg,[383  97 503 421]
000000023695.jpg,[0 0 0 0]
000000023702.jpg,[0 0 0 0]
000000023703.jpg,[0 0 0 0]
000000023709.jpg,[103  58 486 483]
000000023718.jpg,[0 0 0 0]
000000023723.jpg,[-58  67 446 635]
000000023737.jpg,[-11 167 315 560]
000000023741.jpg,[0 0 0 0]
000000023743.jpg,[231 217 343 573]
000000023754.jpg,[0 0 0 0]
000000023760.jpg,[0 0 0 0]
000000024563.jpg,[-32  91 258 823]
000000024571.jpg,[0 0 0 0]
000000024591.jpg,[322 149 421 343]
000000024600.jpg,[0 0 0 0]
000000024601.jpg,[294  54 440 477]
000000024608.jpg,[0 0 0 0]
000000024609.jpg,[436 124 506 369]
000000024621.jpg,[152 154 292 270]
000000024625.jpg,[0 0 0 0]
000000024657.jpg,[-172  231  195 1252]
000000024674.jpg,[ 12   4 439 731]
000000024689.jpg,[310 266 492 641]
000000024706.jpg,[108  43 168 378]
000000024712.jpg,[211  71 412 625]
000000024714.jpg,[291 259 366 442]
000000024716.jpg,[208  59 500 567]
000000024723.jpg,[0 0 0 0]
000000024725.jpg,[ 60  55 134 351]
000000024730.jpg,[354 159 494 516]
000000024755.jpg,[400 174 519 514]
000000024763.jpg,[0 0 0 0]
000000024776.jpg,[  64  157  425 1851]
000000024778.jpg,[  2  90  46 534]
